PAISSUENO,PAISSUEDATE,PAISSUELINENO,SONUMBER,SOLINENO,LINCODE7,PACKID,PACKBARCODE,PACKTYPE,PAISSUEQTY
0420-MSO-00001,13/09/2017,159,0420-MSO-00001,159,F370989,90010,3370989900101,H,1
0420-MSO-00001,13/09/2017,160,0420-MSO-00001,160,F370990,90010,3370990900107,H,1
0420-MSO-00001,13/09/2017,161,0420-MSO-00001,161,F370990,90009,3370990900091,H,0
0420-MSO-00001,13/09/2017,162,0420-MSO-00001,162,F370990,90008,3370990900084,H,0
0420-MSO-00001,13/09/2017,163,0420-MSO-00001,163,F371002,90008,3371002900085,H,1
0420-MSO-00001,13/09/2017,164,0420-MSO-00001,164,F371002,90009,3371002900092,H,1
0420-MSO-00001,13/09/2017,165,0420-MSO-00001,165,F371002,90010,3371002900108,H,1
0420-MSO-00001,13/09/2017,166,0420-MSO-00001,166,F371004,90010,3371004900106,H,0
0420-MSO-00001,13/09/2017,167,0420-MSO-00001,167,F371004,90009,3371004900090,H,1
0420-MSO-00001,13/09/2017,168,0420-MSO-00001,168,F371004,90008,3371004900083,H,1
0420-MSO-00001,13/09/2017,169,0420-MSO-00001,169,F371010,90008,3371010900084,H,1
0420-MSO-00001,13/09/2017,170,0420-MSO-00001,170,F371010,90010,3371010900107,H,1
0420-MSO-00001,13/09/2017,171,0420-MSO-00001,171,F371010,90009,3371010900091,H,1
0420-MSO-00001,13/09/2017,172,0420-MSO-00001,172,F371011,90009,3371011900090,H,1
0420-MSO-00001,13/09/2017,173,0420-MSO-00001,173,F371011,90010,3371011900106,H,0
0420-MSO-00001,13/09/2017,174,0420-MSO-00001,174,F371011,90008,3371011900083,H,1
0420-MSO-00001,13/09/2017,175,0420-MSO-00001,175,F371013,90010,3371013900104,H,1
0420-MSO-00001,13/09/2017,176,0420-MSO-00001,176,F371013,90009,3371013900098,H,1
0420-MSO-00001,13/09/2017,177,0420-MSO-00001,177,F371014,90009,3371014900097,H,1
0420-MSO-00001,13/09/2017,178,0420-MSO-00001,178,F371014,90010,3371014900103,H,0
0420-MSO-00001,13/09/2017,179,0420-MSO-00001,179,F371014,90008,3371014900080,H,1
