ProductGroup,LineCode7,PackId,Packbarcode,Packtype,PackQty,LineCode7Qty,deptcode
C0102,G320730,90009,4320730900095,BH,1,0,C010201
C0102,G320731,90009,4320731900094,BH,1,0,C010201
C0102,G320744,90006,4320744900067,BH,1,0,C010204
C0102,G320745,90007,4320745900073,BH,1,0,C010204
C0102,G320758,90006,4320758900060,BH,1,0,C010203
C0102,G320759,90007,4320759900076,BH,1,0,C010203
C0102,G320788,90006,4320788900061,BH,1,0,C010203
C0102,G320789,90007,4320789900077,BH,1,0,C010203
C0102,G320806,90006,4320806900066,BH,1,0,C010204
C0102,G320807,90007,4320807900072,BH,1,0,C010204
C0103,G066704,90006,4066704900066,BH,1,0,C010303
C0103,G400073,90004,4400073900041,BH,1,0,C010302
C0103,G400074,90005,4400074900057,BH,1,0,C010302
C0103,G400075,90005,4400075900056,BH,1,0,C010302
C0103,G400076,90004,4400076900048,BH,1,0,C010302
C0103,G400077,90005,4400077900054,BH,1,0,C010302
C0103,G400078,90005,4400078900053,BH,1,0,C010302
C0103,G400082,90004,4400082900049,BH,1,0,C010302
C0103,G400083,90005,4400083900055,BH,1,0,C010302
C0103,G400084,90005,4400084900054,BH,1,0,C010302
C0103,G400123,90004,4400123900045,BH,1,0,C010302
C0103,G400124,90005,4400124900051,BH,1,0,C010302
C0103,G400125,90005,4400125900050,BH,1,0,C010302
C0103,G400126,90004,4400126900042,BH,1,0,C010302
C0103,G400127,90005,4400127900058,BH,1,0,C010302
C0103,G400128,90005,4400128900057,BH,1,0,C010302
C0103,G400129,90004,4400129900049,BH,1,0,C010302
C0103,G400130,90005,4400130900052,BH,1,0,C010302
C0103,G400131,90005,4400131900051,BH,1,0,C010302
C0103,G400132,90004,4400132900043,BH,1,0,C010302
C0103,G400133,90005,4400133900059,BH,1,0,C010302
C0103,G400134,90005,4400134900058,BH,1,0,C010302
C0104,G410051,90007,4410051900079,BH,1,0,C010401
C0105,G420109,90006,4420109900067,H,1,0,C010501
C0105,G420110,90007,4420110900070,H,1,0,C010501
C0105,G420110,90008,4420110900087,H,1,0,C010501
C0105,G420185,90007,4420185900074,H,1,0,C010501
C0105,G420185,90006,4420185900067,H,1,0,C010501
C0105,G420186,90007,4420186900073,H,1,0,C010501
C0105,G420186,90008,4420186900080,H,1,0,C010501
C0202,B153096,90006,1153096900064,BH,1,0,C020204
C0202,B153097,90007,1153097900070,BH,1,0,C020204
C0202,B153100,90006,1153100900066,BH,1,0,C020204
C0202,B153101,90007,1153101900072,BH,1,0,C020204
C0202,B153110,90006,1153110900063,BH,1,0,C020203
C0202,B153111,90007,1153111900079,BH,1,0,C020203
C0202,B153116,90006,1153116900067,BH,1,0,C020203
C0202,B153117,90007,1153117900073,BH,1,0,C020203
C0202,B153146,90006,1153146900068,BH,1,0,C020204
C0202,B153147,90007,1153147900074,BH,1,0,C020204
C0202,B153164,90006,1153164900064,BH,1,0,C020205
C0202,B153165,90007,1153165900070,BH,1,0,C020205
C0202,B153172,90006,1153172900063,BH,1,0,C020204
C0202,B153173,90007,1153173900079,BH,1,0,C020204
C0202,B153174,90006,1153174900061,BH,1,0,C020204
C0202,B153175,90007,1153175900077,BH,1,0,C020204
C0202,B153180,90007,1153180900079,BH,1,0,C020205
C0202,B153181,90007,1153181900078,BH,1,0,C020205
C0202,B153191,90007,1153191900075,BH,1,0,C020205
C0202,B153224,90006,1153224900065,BH,1,0,C020205
