Container Reference,Despatch Date,Sub-Dept,Dummy Nest Product,Linecode,Pack ID,Description,Delivery location,Season,Pack Qty,Pack Type,Qty
AMFU8727833,15-FEB-17,C0103,,G066758,90007,BRUSH BACK JOG            NAVY,408,S17,7,BH,420
AMFU8727833,15-FEB-17,C0103,,G400012,90006,DOODLE DENIM SHORT       DENIM,408,S17,7,BH,280
AMFU8727833,15-FEB-17,C0103,,G400013,90007,DOODLE DENIM SHORT       DENIM,408,S17,10,BH,400
AMFU8727833,15-FEB-17,C0202,,B152943,90007,AWESOME REX TEE           BLUE,408,S17,10,BH,400
AMFU8727833,15-FEB-17,C0202,,B152988,90006,BROOKLYN TEE             BLACK,408,S17,10,BH,340
AMFU8727833,15-FEB-17,C0202,,B152989,90007,BROOKLYN TEE             BLACK,408,S17,10,BH,400
AMFU8727833,15-FEB-17,C0203,,B064188,90004,JOG PANT PH4&5            GREY,408,S17,25,BH,50
AMFU8727833,15-FEB-17,C0203,,B064188,90005,JOG PANT PH4&5            GREY,408,S17,25,BH,50
AMFU8727833,15-FEB-17,C0203,,B064189,90003,JOG PANT PH4&5            GREY,408,S17,25,BH,50
AMFU8727833,15-FEB-17,C0203,,B064189,90011,JOG PANT PH4&5            GREY,408,S17,20,BH,40
AMFU8727833,15-FEB-17,C0203,,B064189,90012,JOG PANT PH4&5            GREY,408,S17,20,BH,40
AMFU8727833,15-FEB-17,C0203,,B064222,90006,RANDOM BLEACH WASH       DENIM,408,S17,12,BH,288
AMFU8727833,15-FEB-17,C0203,,B064223,90007,RANDOM BLEACH WASH       DENIM,408,S17,9,BH,216
AMFU8727833,15-FEB-17,C0203,,B064237,90007,PREMIUM STRETCH SHORT    BLACK,408,S17,8,BH,320
AMFU8727833,15-FEB-17,C0203,,B064283,90005,OPP JEANS LT WASH        DENIM,408,Y17,12,BH,480
AMFU8727833,15-FEB-17,C0203,,B064284,90005,OPP JEANS LT WASH        DENIM,408,Y17,4,BH,160
AMFU8727833,15-FEB-17,C0203,,B064286,90005,OPP JEAN DARK WASH       DENIM,408,Y17,12,BH,480
AMFU8727833,15-FEB-17,C0203,,B064287,90005,OPP JEAN DARK WASH       DENIM,408,Y17,6,BH,240
AMFU8727833,15-FEB-17,C0203,,B064318,90005,SKINNY JEAN BRIGHT BLUE  DENIM,408,S17,11,BH,374
AMFU8727833,15-FEB-17,C0203,,B064319,90005,SKINNY JEAN BRIGHT BLUE  DENIM,408,S17,6,BH,204
AMFU8727833,15-FEB-17,C0301,,C016076,90006,BT50A L WASH DENIM JEGGI DENIM,408,Y17,30,BH,210
AMFU8727833,15-FEB-17,C0301,,C017232,90001,IB30B 2PK RIB LEGGINGS    NAVY,408,S17,20,BH,100
AMFU8727833,15-FEB-17,C0301,,C017232,90003,IB30B 2PK RIB LEGGINGS    NAVY,408,S17,20,BH,140
AMFU8727833,15-FEB-17,C0301,,C017461,90005,DR35B PINK JAQUARD JEGGIN PINK,408,S17,13,BH,780
AMFU8727833,15-FEB-17,C0401,,G142238,90002,FASHION PLEAT SKIRT BLAC BLACK,408,Y17,20,BH,60
AMFU8727833,15-FEB-17,C0601,,B362404,90005,JN05B JEAN               DENIM,408,S17,15,BH,600
AMFU8727833,15-FEB-17,C0601,,B362439,90005,JN08A VINTAGE WASH SKINN DENIM,408,S17,9,BH,360
AMFU8727833,15-FEB-17,C0601,,B362537,90005,ST30A KNITTED DENIM SHORT BLUE,408,S17,12,BH,480
AMFU8727833,15-FEB-17,C0701,,C114407,90005,MINNIE STRIPE BADGE TEE  WHITE,408,S17,7,BH,420
AMFU8727833,15-FEB-17,C0701,,C114408,90005,MINNIE STRIPE BADGE TEE  WHITE,408,S17,6,BH,222
AMFU8727833,15-FEB-17,C0701,,C290002,90005,MINNIE AOP SWEAT TOP    NVY/WH,408,S17,7,BH,420
AMFU8727833,15-FEB-17,C0701,,C290005,90009,MINNIE BADGE TIE TEE     WHITE,408,S17,14,BH,420
AMFU8727833,15-FEB-17,C0706,,C114281,90009,SPIDERMAN 5PK BRIEFS      BLUE,408,S17,18,BH,720
AMFU8727833,15-FEB-17,C0801,,B021225,90006,3PK TRUNKS GRAFFITTI     BLACK,408,S17,60,B,120
AMFU8727833,15-FEB-17,C0801,,B021225,90008,3PK TRUNKS GRAFFITTI     BLACK,408,S17,60,B,120
AMFU8727833,15-FEB-17,C0801,,B021225,90010,3PK TRUNKS GRAFFITTI     BLACK,408,S17,60,B,120
AMFU8727833,15-FEB-17,C0801,,B021229,90011,5PK VEST                 WHITE,408,Y17,30,B,60
AMFU8727833,15-FEB-17,C0801,,G022156,90006,BRA DANDELION            CORAL,408,S17,60,B,120
AMFU8727833,15-FEB-17,C0801,,G022156,90014,BRA DANDELION            CORAL,408,S17,60,B,120
AMFU8727833,15-FEB-17,C0801,,G022157,90010,CLASP CROP DANDELION     CORAL,408,S17,120,B,240
AMFU8727833,15-FEB-17,C0801,,G022164,90022,MOULDED BRA TOP          WHITE,408,Y17,60,B,60
AMFU8727833,15-FEB-17,C0801,,G022164,90024,MOULDED BRA TOP          WHITE,408,Y17,60,B,60
AMFU8727833,15-FEB-17,C1203,,C123783,90006,AZTEC SKINNY JEANS      MD DNM,408,S17,15,BH,450
AMFU8727833,15-FEB-17,C1501,,B032931,90006,GREY SKINNY JEAN          GREY,408,S17,11,BH,121
AMFU8727833,15-FEB-17,F0101,,F971622,90007,LOAFER PATENT            BLACK,408,S17,16,BH,112
AMFU8727833,15-FEB-17,F0103,,F971647,90007,KNIT TRAINER             BLACK,408,S17,16,BH,192
AMFU8727833,15-FEB-17,F0106,,F971664,90007,SF PENNY LOAFER LAZERCUT WHITE,408,S17,16,BH,240
AMFU8727833,15-FEB-17,F0106,,F971779,90007,SF SHIMMER CANVAS        BLACK,408,S17,16,BH,208
AMFU8727833,15-FEB-17,F0301,,M311806,90008,NEOPRENE CUT OUT LACE UP WHITE,408,S17,12,BH,120
AMFU8727833,15-FEB-17,F0401,,C156339,90004,OG OPP FLOWER  SANDAL    WHITE,408,S17,6,BH,60
AMFU8727833,15-FEB-17,F0401,,C156744,90007,OG HI SHINE LACE UP     BRONZE,408,S17,10,BH,230
AMFU8727833,15-FEB-17,F0401,,C156961,90007,OG GLITTER RETRO TRAINER BLACK,408,S17,8,BH,80
AMFU8727833,15-FEB-17,F0403,,C156652,90007,IG OPP SANDAL             NUDE,408,S17,12,BH,120
AMFU8727833,15-FEB-17,F1104,,C141859,90003,IB ORIGINAL               NAVY,408,S17,12,B,540
AMFU8727833,15-FEB-17,H0104,,M846689,90002,SILICONE GRIPPER,408,Y17,12,B,132
AMFU8727833,15-FEB-17,H0108,,M846619,90001,WASHING UP BOWL DUCK EGG,408,Y17,12,B,72
AMFU8727833,15-FEB-17,H0108,,M846620,90001,DISH DRAINER GREY,408,Y17,12,B,216
AMFU8727833,15-FEB-17,H0301,,M846655,90002,SPOON REST,408,Y17,18,B,198
AMFU8727833,15-FEB-17,H0301,,M846944,90001,YOU & ME MUG,408,S17,6,B,168
AMFU8727833,15-FEB-17,H0301,,M846978,90001,ULTIMATE FLORAL BUNNY,408,S17,6,B,54
AMFU8727833,15-FEB-17,H0301,,M847041,90001,BUNNY SHAPED MUG,408,S17,12,B,504
AMFU8727833,15-FEB-17,H0301,,M847043,90001,BUNNY EGG CUP,408,S17,12,B,252
AMFU8727833,15-FEB-17,H0301,,M847194,90001,GREY OMBRE DINNER,408,S17,12,B,252
AMFU8727833,15-FEB-17,H0301,,M847195,90001,GREY OMBRE SIDE,408,S17,12,B,228
AMFU8727833,15-FEB-17,H0306,,M847206,90002,GLASS CAN,408,S17,6,B,126
AMFU8727833,15-FEB-17,H0307,,M847033,90001,YELLOW TRAY,408,S17,12,B,252
AMFU8727833,15-FEB-17,H0310,,M846809,90001,RUCKSACK COOL BAG COASTAL,408,S17,6,B,168
AMFU8727833,15-FEB-17,H0310,,M846817,90001,COASTAL DRINKS DISPENSER,408,S17,6,B,78
AMFU8727833,15-FEB-17,H0402,,M693545,90001,HEART & WATERING CAN CHIME,408,S17,12,B,144
AMFU8727833,15-FEB-17,H0408,,M693616,90001,HANGING CONE  T/L HOLDER,408,S17,6,B,180
AMFU8727833,15-FEB-17,H0408,,M693617,90001,BRANCH T/L HOLDER,408,S17,2,B,20
AMFU8727833,15-FEB-17,H0408,,M693666,90001,ROUND WOOD LANTERN LED,408,S17,6,B,6
AMFU8727833,15-FEB-17,H0408,,M693667,90001,TALL HEART LANTERN,408,S17,2,B,44
AMFU8727833,15-FEB-17,H0408,,M693713,90001,HANGING SPIDER PLANT,408,S17,6,B,126
AMFU8727833,15-FEB-17,H0408,,M693718,90001,HANGING PLANTER with WOOD BASE,408,S17,4,B,120
AMFU8727833,15-FEB-17,H0501,,M879301,90001,COASTAL CIRCULAR JAQUARD,408,S17,3,B,57
AMFU8727833,15-FEB-17,H0501,,M879331,90001,COASTAL SMALL FLOWERS CUSHION,408,S17,3,B,36
AMFU8727833,15-FEB-17,H0605,,M802652,90001,WATER GUN,408,S17,12,B,12
AMFU8727833,15-FEB-17,H0702,,M812793,90001,SILVER HEART GLASS JAR,408,S17,6,B,132
AMFU8727833,15-FEB-17,H0702,,M812807,90001,SHELL AND FISH SHAPED HOOKS,408,S17,6,B,120
AMFU8727833,15-FEB-17,H0702,,M812866,90001,GREY GEO FABRIC DRAWERS W CAB,408,S17,1,B,8
AMFU8727833,15-FEB-17,H0702,,M812868,90001,3 TIER WHITE CADDY,408,S17,2,B,10
AMFU8727833,15-FEB-17,H0903,,M683543,90001,EASYCARE OXFORD PCASE CREAM PC,408,Y17,12,B,84
AMFU8727833,15-FEB-17,H0903,,M683566,90001,DFIT EASYCARE FTD NWCHAM FIT K,408,Y17,8,B,8
AMFU8727833,15-FEB-17,H0903,,M683677,90001,400TC EGYPTIAN OXFORD WHITE PC,408,Y17,12,B,96
AMFU8727833,15-FEB-17,H0903,,M683679,90001,400TC EGYPTIAN FIT CREAM FIT K,408,Y17,8,B,88
AMFU8727833,15-FEB-17,H0903,,M683686,90001,400TC EGYPTIAN HWFE GR GREY PC,408,Y17,12,B,156
AMFU8727833,15-FEB-17,H0906,,M683995,90001,FEATHER STRING LIGHTS,408,S17,12,B,540
AMFU8727833,15-FEB-17,H0906,,M683996,90001,FLAMINGO LED LIGHT,408,S17,12,B,396
AMFU8727833,15-FEB-17,H0906,,M683999,90001,ARROWS MEMO HOLDER,408,S17,6,B,84
AMFU8727833,15-FEB-17,L0302,,F272981,90005,SIDE TIE JUMPER          CREAM,408,S17,20,BH,80
AMFU8727833,15-FEB-17,L2201,,F710857,90004,DENIM ANKLE LEGGING      BLACK,408,Y17,34,BH,204
AMFU8727833,15-FEB-17,L2501,,F773730,90011,SKINNY 29BLACK           BLACK,408,Y17,18,BH,36
AMFU8727833,15-FEB-17,L2501,,F773730,90012,SKINNY 29BLACK           BLACK,408,Y17,18,BH,36
AMFU8727833,15-FEB-17,L2501,,F773730,90013,SKINNY 29BLACK           BLACK,408,Y17,18,BH,36
AMFU8727833,15-FEB-17,L2501,,F773990,90002,HEIDI SLIM 31 MIDWASH   MDWASH,408,Y17,25,BH,75
AMFU8727833,15-FEB-17,L2501,,F773990,90003,HEIDI SLIM 31 MIDWASH   MDWASH,408,Y17,25,BH,75
AMFU8727833,15-FEB-17,L2501,,F773990,90005,HEIDI SLIM 31 MIDWASH   MDWASH,408,Y17,25,BH,75
AMFU8727833,15-FEB-17,L2501,,F773990,90006,HEIDI SLIM 31 MIDWASH   MDWASH,408,Y17,25,BH,75
AMFU8727833,15-FEB-17,L3702,,F363647,90020,RACERBACK AQUA SAIL       TURQ,408,S17,27,BH,108
AMFU8727833,15-FEB-17,L3702,,F363686,90001,BINDING RANGE PEACH BRA    643,408,S17,28,BH,140
AMFU8727833,15-FEB-17,L3702,,F363688,90001,BINDING RANGE FIESTA PNK  PINK,408,S17,28,BH,140
AMFU8727833,15-FEB-17,M0301,,M023600,90006,12GG COTTON NYLON V NEC CHARCO,408,S17,10,BH,240
AMFU8727833,15-FEB-17,M0301,,M023601,90006,12GG COTTON NYLON ROLL NE NAVY,408,S17,10,BH,240
AMFU8727833,15-FEB-17,M1601,,M580659,90016,STRAIGHT DENIM          LTWASH,408,S17,12,BH,168
