ProductGroup,LineCode7,PackId,Packbarcode,Packtype,PackQty,LineCode7Qty,deptcode
C0402,B141732,90005,1141732900059,B,1,11,C040202
C0402,B141733,90005,1141733900058,B,1,6,C040202
C0402,B141892,90004,1141892900043,BH,1,8,C040203
C0402,B141893,90005,1141893900059,BH,1,13,C040203
C0402,B141894,90003,1141894900034,BH,1,2,C040203
C0601,B362948,90005,1362948900057,BH,1,8,C060103
C0601,B362949,90005,1362949900056,BH,1,17,C060103
C0402,B370022,90004,1370022900046,BH,1,5,C040203
C0402,B370023,90005,1370023900052,BH,1,14,C040203
C0402,B370024,90003,1370024900037,BH,1,5,C040203
C0301,C017989,90005,2017989900052,BH,1,8,C030103
C0301,C017990,90005,2017990900058,BH,1,17,C030103
C1001,C133619,90003,2133619900039,B,1,30,C100103
C1002,C133625,90003,2133625900030,BH,1,10,C100202
C1002,C133627,90003,2133627900038,BH,1,10,C100202
C1002,C133628,90003,2133628900037,BH,1,10,C100202
C1001,C133638,90017,2133638900171,B,1,27,C100101
C1001,C133640,90015,2133640900152,B,1,27,C100101
F0405,C157550,90007,2157550900071,BH,1,11,F040502
F0405,C157551,90005,2157551900056,BH,1,5,F040502
F0405,C157959,90009,2157959900092,BH,1,10,F040502
F0405,C157960,90005,2157960900050,BH,1,8,F040502
F0704,F207485,90010,3207485900109,B,1,12,F070401
L0301,F273067,90008,3273067900089,BH,1,18,L030102
L0301,F273068,90008,3273068900088,BH,1,18,L030102
L0301,F273069,90008,3273069900087,BH,1,18,L030102
L2501,F774158,90015,3774158900150,BH,1,18,L250101
F0106,F972199,90007,3972199900072,BH,1,12,F010602
C0103,G066704,90006,4066704900066,BH,1,6,C010303
C0103,G066706,90006,4066706900064,BH,1,9,C010303
C0103,G066708,90007,4066708900079,BH,1,11,C010303
C0401,G142363,90004,4142363900040,BH,1,8,C040103
C0401,G142364,90005,4142364900056,BH,1,8,C040103
C0401,G142365,90005,4142365900055,BH,1,4,C040103
C0401,G142432,90005,4142432900056,BH,1,9,C040103
C0801,G370006,90017,4370006900175,BH,1,30,C080101
C0801,G370007,90017,4370007900174,BH,1,30,C080101
C0801,G370008,90017,4370008900173,BH,1,30,C080101
C0801,G370014,90017,4370014900174,BH,1,25,C080101
C0801,G370015,90017,4370015900173,BH,1,25,C080101
C0801,G370029,90005,4370029900053,B,1,20,C080101
C0801,G370031,90005,4370031900058,B,1,20,C080101
C0801,G370034,90011,4370034900116,BH,1,22,C080101
C0801,G370036,90006,4370036900060,B,1,22,C080101
C0801,G370040,90011,4370040900117,BH,1,22,C080101
C0801,G370048,90007,4370048900072,B,1,20,C080101
C0401,G430009,90004,4430009900043,H,1,5,C040103
C0401,G430048,90007,4430048900073,BH,1,14,C040103
F0201,M550034,90013,6550034900134,BH,1,20,F020101
F0201,M550035,90013,6550035900133,BH,1,20,F020101
F0201,M550040,90007,6550040900074,BH,1,21,F020101
