Id,DocNo,ItemNo,Barcode,SystemQty,TransferQty,Variance,VarianceAdjustment,Remarks,ReceivedQty,TransferVariance,SenderLocation,ReceiverLocation,Country
16317,abc,B06407700001,1064077000010,0,2,2,-1,aaa,2,0,411,404,JOR
16318,abc,B06407700002,1064077000027,0,3,3,-2,bbb,3,0,411,404,JOR
16319,abc,B06407700003,1064077000034,0,1,1,-1,,1,0,411,404,JOR
16320,abc,B06407900003,1064079000032,0,4,4,-4,,4,0,411,404,JOR
16321,abc,B06422500001,1064225000015,0,1,1,-1,,1,0,411,404,JOR
16322,abc,B06431700001,1064317000015,0,1,1,-1,,1,0,411,404,JOR
16323,abc,B06431700003,1064317000039,0,4,4,-4,,4,0,411,404,JOR
16324,abc,B06431800001,1064318000014,0,1,1,-1,,1,0,411,404,JOR
16325,abc,B06431800002,1064318000021,0,2,2,-2,,2,0,411,404,JOR
16326,abc,B06431800003,1064318000038,0,5,5,-5,,5,0,411,404,JOR
16327,abc,B06431800004,1064318000045,0,1,1,-1,,1,0,411,404,JOR
16328,abc,B06431900002,1064319000020,0,1,1,-1,,1,0,411,404,JOR
16329,abc,B06431900003,1064319000037,0,1,1,-1,,1,0,411,404,JOR
16330,abc,B06431900004,1064319000044,0,2,2,-2,,2,0,411,404,JOR
16331,abc,B06438200002,1064382000026,0,2,2,-2,,2,0,411,404,JOR
16332,abc,B06438200005,1064382000057,0,3,3,-3,,3,0,411,404,JOR
16333,abc,B06440200001,1064402000012,0,1,1,-1,,1,0,411,404,JOR
16334,abc,B06440200002,1064402000029,0,1,1,-1,,1,0,411,404,JOR
16335,abc,B06440300001,1064403000011,0,5,5,-5,,5,0,411,404,JOR
16336,abc,B06440300002,1064403000028,0,5,5,-5,,5,0,411,404,JOR
16337,abc,B06440300003,1064403000035,0,3,3,-3,,3,0,411,404,JOR
16338,abc,B06440300004,1064403000042,0,4,4,-4,,4,0,411,404,JOR
16339,abc,B06440400003,1064404000034,0,2,2,-2,,2,0,411,404,JOR
16340,abc,B06440600003,1064406000032,2,1,,0,,1,0,411,404,JOR
16341,abc,B06440800001,1064408000016,4,1,,0,,1,0,411,404,JOR
16342,abc,B06440800002,1064408000023,3,2,,0,,2,0,411,404,JOR
16343,abc,B06440800003,1064408000030,3,1,,0,,1,0,411,404,JOR
16344,abc,B06440800004,1064408000047,2,1,,0,,1,0,411,404,JOR
16345,abc,B06440900001,1064409000015,1,1,,0,,1,0,411,404,JOR
16346,abc,B06441000001,1064410000011,0,1,1,-1,,1,0,411,404,JOR
16347,abc,B06441100001,1064411000010,1,4,3,-3,,4,0,411,404,JOR
16348,abc,B06441100002,1064411000027,1,3,2,-2,,3,0,411,404,JOR
16349,abc,B06441100003,1064411000034,0,5,5,-5,,5,0,411,404,JOR
16350,abc,B06441100004,1064411000041,1,3,2,-2,,3,0,411,404,JOR
16351,abc,B06441200001,1064412000019,0,1,1,-1,,1,0,411,404,JOR
16352,abc,B06441200002,1064412000026,0,1,1,-1,,1,0,411,404,JOR
16353,abc,B06442100001,1064421000017,1,1,,0,,1,0,411,404,JOR
16354,abc,B06442200001,1064422000016,0,1,1,-1,,1,0,411,404,JOR
16355,abc,B06442200002,1064422000023,0,1,1,-1,,1,0,411,404,JOR
16356,abc,B06442200003,1064422000030,0,3,3,-3,,3,0,411,404,JOR
16357,abc,B06442200004,1064422000047,0,1,1,-1,,1,0,411,404,JOR
16358,abc,B06442300001,1064423000015,2,1,,0,,1,0,411,404,JOR
16359,abc,B06442300002,1064423000022,1,1,,0,,1,0,411,404,JOR
16360,abc,B06442300003,1064423000039,2,2,,0,,2,0,411,404,JOR
16361,abc,B06442800001,1064428000010,0,2,2,-2,,2,0,411,404,JOR
16362,abc,B06442800002,1064428000027,0,1,1,-1,,1,0,411,404,JOR
16363,abc,B06442800003,1064428000034,0,2,2,-2,,2,0,411,404,JOR
16364,abc,B06442900001,1064429000019,0,4,4,-4,,4,0,411,404,JOR
16365,abc,B06442900002,1064429000026,0,3,3,-3,,3,0,411,404,JOR
16366,abc,B06442900003,1064429000033,0,3,3,-3,,3,0,411,404,JOR
16367,abc,B06442900004,1064429000040,0,3,3,-3,,3,0,411,404,JOR
16368,abc,B06443000001,1064430000015,0,1,1,-1,,1,0,411,404,JOR
16369,abc,B06443000002,1064430000022,0,1,1,-1,,1,0,411,404,JOR
16370,abc,B06443000003,1064430000039,0,1,1,-1,,1,0,411,404,JOR
16371,abc,B06443000004,1064430000046,1,1,,0,,1,0,411,404,JOR
16372,abc,B06443500001,1064435000010,0,1,1,-1,,1,0,411,404,JOR
16373,abc,B06443500002,1064435000027,0,1,1,-1,,1,0,411,404,JOR
16374,abc,B06443500003,1064435000034,0,2,2,-2,,2,0,411,404,JOR
16375,abc,B06443500004,1064435000041,0,3,3,-3,,3,0,411,404,JOR
16376,abc,B06443500005,1064435000058,0,2,2,-2,,2,0,411,404,JOR
16377,abc,B06443800001,1064438000017,1,2,1,-1,,2,0,411,404,JOR
16378,abc,B06443800002,1064438000024,0,4,4,-4,,4,0,411,404,JOR
16379,abc,B06443800003,1064438000031,0,1,1,-1,,1,0,411,404,JOR
16380,abc,B06443800004,1064438000048,0,1,1,-1,,1,0,411,404,JOR
16381,abc,B06443800006,1064438000062,0,1,1,-1,,1,0,411,404,JOR
16382,abc,B06444300001,1064443000019,0,2,2,-2,,2,0,411,404,JOR
16383,abc,B06444400001,1064444000018,0,1,1,-1,,1,0,411,404,JOR
16384,abc,B06444400002,1064444000025,0,1,1,-1,,1,0,411,404,JOR
16385,abc,B06444400003,1064444000032,1,1,,0,,1,0,411,404,JOR
16386,abc,B06447800001,1064478000015,0,1,1,-1,,1,0,411,404,JOR
16387,abc,B06447800004,1064478000046,0,2,2,-2,,2,0,411,404,JOR
16388,abc,B06447800005,1064478000053,0,3,3,-3,,3,0,411,404,JOR
16389,abc,B06447900001,1064479000014,0,2,2,-2,,2,0,411,404,JOR
16390,abc,B06447900006,1064479000069,0,1,1,-1,,1,0,411,404,JOR
16391,abc,B11080600001,1110806000018,0,1,1,-1,,1,0,411,404,JOR
16392,abc,B11080600002,1110806000025,0,1,1,-1,,1,0,411,404,JOR
16393,abc,B11081500001,1110815000016,0,2,2,-2,,2,0,411,404,JOR
16394,abc,B11081500002,1110815000023,0,1,1,-1,,1,0,411,404,JOR
16395,abc,B11081500003,1110815000030,0,3,3,-3,,3,0,411,404,JOR
16396,abc,B11081500004,1110815000047,0,2,2,-2,,2,0,411,404,JOR
16397,abc,B11081600001,1110816000015,0,3,3,-3,,3,0,411,404,JOR
16398,abc,B11081600002,1110816000022,0,4,4,-4,,4,0,411,404,JOR
16399,abc,B11081600003,1110816000039,0,2,2,-2,,2,0,411,404,JOR
16400,abc,B11081600004,1110816000046,1,4,3,-3,,4,0,411,404,JOR
16401,abc,B11081600005,1110816000053,0,1,1,-1,,1,0,411,404,JOR
16402,abc,B11081600006,1110816000060,0,3,3,-3,,3,0,411,404,JOR
16403,abc,B11081700003,1110817000038,1,1,,0,,1,0,411,404,JOR
16404,abc,B11081800001,1110818000013,0,1,1,-1,,1,0,411,404,JOR
16405,abc,B11081800006,1110818000068,0,1,1,-1,,1,0,411,404,JOR
16406,abc,B11082100001,1110821000017,0,1,1,-1,,1,0,411,404,JOR
16407,abc,B11082100002,1110821000024,0,1,1,-1,,1,0,411,404,JOR
16408,abc,B11082200001,1110822000016,0,3,3,-3,,3,0,411,404,JOR
16409,abc,B11082200002,1110822000023,0,2,2,-2,,2,0,411,404,JOR
16410,abc,B11082300001,1110823000015,0,1,1,-1,,1,0,411,404,JOR
16411,abc,B11082900003,1110829000033,3,2,,0,,2,0,411,404,JOR
16412,abc,B11082900004,1110829000040,3,4,1,-1,,4,0,411,404,JOR
16413,abc,B11083000001,1110830000015,3,4,1,-1,,4,0,411,404,JOR
16414,abc,B11083000002,1110830000022,0,2,2,-2,,2,0,411,404,JOR
16415,abc,B11083000003,1110830000039,0,2,2,-2,,2,0,411,404,JOR
16416,abc,B11083000004,1110830000046,0,2,2,-2,,2,0,411,404,JOR
16417,abc,B11083200001,1110832000013,0,1,1,-1,,1,0,411,404,JOR
