PAISSUENO,PAISSUEDATE,PAISSUELINENO,SONUMBER,SOLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,PAISSUEQTY
0420-MSO-00726,08/03/2018,1,0420-MSO-00726,1,B02125300004,4,1021253000042,S,1
0420-MSO-00726,08/03/2018,2,0420-MSO-00726,2,B064630,90007,1064630900078,BH,1
0420-MSO-00726,08/03/2018,3,0420-MSO-00726,3,B064655,90007,1064655900077,BH,1
0420-MSO-00726,08/03/2018,4,0420-MSO-00726,4,B064742,90007,1064742900072,BH,1
0420-MSO-00726,08/03/2018,5,0420-MSO-00726,5,B090411,90004,1090411900043,BH,1
0420-MSO-00726,08/03/2018,6,0420-MSO-00726,6,B090416,90003,1090416900031,BH,1
0420-MSO-00726,08/03/2018,7,0420-MSO-00726,7,B090419,90004,1090419900045,BH,1
0420-MSO-00726,08/03/2018,8,0420-MSO-00726,8,B153470,90004,1153470900048,BH,1
0420-MSO-00726,08/03/2018,9,0420-MSO-00726,9,B153534,90005,1153534900052,BH,1
0420-MSO-00726,08/03/2018,10,0420-MSO-00726,10,B153548,90005,1153548900055,BH,1
0420-MSO-00726,08/03/2018,11,0420-MSO-00726,11,B153549,90007,1153549900078,BH,1
0420-MSO-00726,08/03/2018,12,0420-MSO-00726,12,B153570,90005,1153570900054,BH,1
0420-MSO-00726,08/03/2018,13,0420-MSO-00726,13,C018284,90006,2018284900068,BH,1
0420-MSO-00726,08/03/2018,14,0420-MSO-00726,14,C018341,90006,2018341900062,BH,1
0420-MSO-00726,08/03/2018,15,0420-MSO-00726,15,C018358,90007,2018358900079,B,1
0420-MSO-00726,08/03/2018,16,0420-MSO-00726,16,C018382,90005,2018382900052,BH,1
0420-MSO-00726,08/03/2018,17,0420-MSO-00726,17,C124435,90006,2124435900068,BH,1
0420-MSO-00726,08/03/2018,18,0420-MSO-00726,18,C13308100001,90001,2133081900018,S,1
0420-MSO-00726,08/03/2018,19,0420-MSO-00726,19,C180533,90007,2180533900072,BH,1
0420-MSO-00726,08/03/2018,20,0420-MSO-00726,20,C240010,90007,2240010900077,BH,1
0420-MSO-00726,08/03/2018,21,0420-MSO-00726,21,C240229,90006,2240229900066,BH,1
0420-MSO-00726,08/03/2018,22,0420-MSO-00726,22,C240290,90007,2240290900071,BH,1
0420-MSO-00726,08/03/2018,23,0420-MSO-00726,23,C240644,90005,2240644900054,BH,1
0420-MSO-00726,08/03/2018,24,0420-MSO-00726,24,C241216,90008,2241216900083,H,1
0420-MSO-00726,08/03/2018,25,0420-MSO-00726,25,C290199,90003,2290199900030,BH,1
0420-MSO-00726,08/03/2018,26,0420-MSO-00726,26,F269939,90009,3269939900097,H,1
0420-MSO-00726,08/03/2018,27,0420-MSO-00726,27,F269939,90008,3269939900080,H,1
0420-MSO-00726,08/03/2018,28,0420-MSO-00726,28,F269940,90007,3269940900079,H,1
0420-MSO-00726,08/03/2018,29,0420-MSO-00726,29,F269940,90008,3269940900086,H,1
0420-MSO-00726,08/03/2018,30,0420-MSO-00726,30,F269940,90009,3269940900093,H,1
0420-MSO-00726,08/03/2018,31,0420-MSO-00726,31,F269941,90008,3269941900085,H,1
0420-MSO-00726,08/03/2018,32,0420-MSO-00726,32,F269941,90009,3269941900092,H,1
0420-MSO-00726,08/03/2018,33,0420-MSO-00726,33,F269941,90010,3269941900108,H,1
0420-MSO-00726,08/03/2018,34,0420-MSO-00726,34,F281917,90008,3281917900080,H,1
0420-MSO-00726,08/03/2018,35,0420-MSO-00726,35,F281959,90009,3281959900093,BH,1
0420-MSO-00726,08/03/2018,36,0420-MSO-00726,36,F281980,90008,3281980900086,BH,1
0420-MSO-00726,08/03/2018,37,0420-MSO-00726,37,F364928,90019,3364928900192,BH,1
0420-MSO-00726,08/03/2018,38,0420-MSO-00726,38,F364946,90001,3364946900013,BH,1
0420-MSO-00726,08/03/2018,39,0420-MSO-00726,39,F364969,90020,3364969900205,BH,1
0420-MSO-00726,08/03/2018,40,0420-MSO-00726,40,F365029,90005,3365029900050,BH,1
0420-MSO-00726,08/03/2018,41,0420-MSO-00726,41,F365116,90007,3365116900079,H,1
0420-MSO-00726,08/03/2018,42,0420-MSO-00726,42,F365132,90006,3365132900060,BH,1
0420-MSO-00726,08/03/2018,43,0420-MSO-00726,43,F365289,90006,3365289900067,BH,1
