ContainerNo,Linecode7,PackBarcode,Quantity
MRKU209623,M490088,6490088900011,9
MRKU209623,M490058,6490058900010,3
MRKU209623,M490066,6490066900019,9
MRKU209623,M490091,6490091900015,10
MRKU209623,M490092,6490092900014,10
