Container Reference,Despatch Date,Sub-Dept,Dummy Nest Product,Linecode,Pack ID,Description,Delivery location,Season,Pack Qty,Pack Type,Qty
MSKU9545239,26-JUN-17,C0401,,G142159,90001,2 PK PRETTY POLO RED       RED,408,Y17,40,BH,40
MSKU9545239,26-JUN-17,C0401,,G142159,90002,2 PK PRETTY POLO RED       RED,408,Y17,40,BH,40
MSKU9545239,26-JUN-17,C0401,,G142159,90003,2 PK PRETTY POLO RED       RED,408,Y17,40,BH,40
MSKU9545239,26-JUN-17,C0401,,G142160,90001,2 PK PRETTY POLO RED       RED,408,Y17,30,BH,60
MSKU9545239,26-JUN-17,C0401,,G142160,90002,2 PK PRETTY POLO RED       RED,408,Y17,30,BH,60
MSKU9545239,26-JUN-17,C0401,,G142160,90003,2 PK PRETTY POLO RED       RED,408,Y17,30,BH,60
MSKU9545239,26-JUN-17,C0401,,G142160,90004,2 PK PRETTY POLO RED       RED,408,Y17,30,BH,60
MSKU9545239,26-JUN-17,C0401,,G142237,90001,FASHION PLEAT SKIRT BLAC BLACK,408,Y17,20,BH,80
MSKU9545239,26-JUN-17,C0401,,G142237,90006,FASHION PLEAT SKIRT BLAC BLACK,408,Y17,20,BH,20
MSKU9545239,26-JUN-17,C0901,,G111125,90005,2 PK PJ MONSTER SLEEPOVER GREY,408,W17,10,BH,80
MSKU9545239,26-JUN-17,C0901,,G111126,90007,2 PK PJ MONSTER SLEEPOVER GREY,408,W17,14,BH,112
MSKU9545239,26-JUN-17,C1001,,C133621,90004,SLEEPBAG BUNNY            PINK,408,W17,11,BH,352
MSKU9545239,26-JUN-17,C1002,,C133625,90003,HOODED TOWEL AND WASHMIT WHITE,408,Y17,10,BH,320
MSKU9545239,26-JUN-17,C1002,,C133627,90003,HOODED TOWEL AND WASHMITT PINK,408,Y17,10,BH,320
MSKU9545239,26-JUN-17,C1002,,C133628,90003,HOODED TOWEL AND WASHMITT BLUE,408,Y17,10,BH,320
MSKU9545239,26-JUN-17,C1203,,C124037,90002,HIGH WAIST SKINNY JEAN   BLACK,408,Y17,30,BH,30
MSKU9545239,26-JUN-17,C1203,,C124037,90003,HIGH WAIST SKINNY JEAN   BLACK,408,Y17,30,BH,90
MSKU9545239,26-JUN-17,C1203,,C124037,90004,HIGH WAIST SKINNY JEAN   BLACK,408,Y17,30,BH,90
MSKU9545239,26-JUN-17,F0103,,F972080,90007,KNIT LACE UP TRAINER      NAVY,408,W17,12,BH,348
MSKU9545239,26-JUN-17,F0103,,F972106,90007,RETRO RUNNER             WHITE,408,W17,12,BH,360
MSKU9545239,26-JUN-17,F0201,,M550048,90007,LIGHTWEIGHT WAFFLE MULE   MINK,408,W17,24,BH,48
MSKU9545239,26-JUN-17,F0201,,M550049,90007,LIGHTWEIGHT WAFFLE MULE  BLACK,408,W17,24,BH,96
MSKU9545239,26-JUN-17,F0402,,C156804,90005,OB VELCRO STRAP  HI TOP  BLACK,408,W17,6,BH,180
MSKU9545239,26-JUN-17,F0405,,C157551,90005,OB COATED LEA TRAINER    BLACK,408,Y17,5,BH,160
MSKU9545239,26-JUN-17,F0405,,C157582,90007,OB COATED LACE UP SHOE   BLACK,408,W17,10,BH,60
MSKU9545239,26-JUN-17,F0405,,C157910,90007,OB LEATHER SINGLE STRAP  BLACK,408,W17,10,BH,220
MSKU9545239,26-JUN-17,F0405,,C157911,90005,OB LEATHER SINGLE STRAP  BLACK,408,W17,6,BH,48
MSKU9545239,26-JUN-17,F0703,,M312039,90001,NYLON ZIP FRONT RUCKSACK KHAKI,408,W17,12,B,228
MSKU9545239,26-JUN-17,F0703,,M312040,90001,NYLON ZIP FRONT RUCKSACK BLACK,408,W17,12,B,420
MSKU9545239,26-JUN-17,F0703,,M312061,90001,QUILTED MONO FLORAL WEEK BLACK,408,W17,6,BH,6
MSKU9545239,26-JUN-17,F0703,,M312063,90001,RING DETAIL RUCKSACK      BLUE,408,W17,6,BH,12
MSKU9545239,26-JUN-17,F0703,,M312084,90001,WOODSTOCK EMBROIDERED CL BLACK,408,W17,12,B,60
MSKU9545239,26-JUN-17,H0108,,M845102,90001,WORKTOP BIN CREAM,408,Y17,6,B,126
MSKU9545239,26-JUN-17,H0108,,M845976,90001,WHITE LAUNDRY BASKET,408,Y17,8,B,128
MSKU9545239,26-JUN-17,H0109,,M846865,90001,HYDRATE TRITAN BOTTLE,408,W17,6,B,126
MSKU9545239,26-JUN-17,H0302,,M847250,90001,BUNNY BAG & BOTTLE,408,W17,3,B,165
MSKU9545239,26-JUN-17,H0302,,M847252,90001,PANDA BAG & BOTTLE,408,W17,3,B,159
