Container Reference,Despatch Date,Sub-Dept,Dummy Nest Product,Linecode,Pack ID,Description,Delivery location,Season,Pack Qty,Pack Type,Qty
CBHU4377695,21/08/2017,C0105,,G420149,90006,LUREX DRESS              MULTI,0420,W17,4,H,252
CBHU4377695,21/08/2017,C0105,,G420149,90007,LUREX DRESS              MULTI,0420,W17,6,H,378
CBHU4377695,21/08/2017,C0105,,G420150,90007,LUREX DRESS              MULTI,0420,W17,6,H,378
CBHU4377695,21/08/2017,C0105,,G420150,90008,LUREX DRESS              MULTI,0420,W17,6,H,378
CBHU4377695,21/08/2017,C1301,,C158727,90007,RED FAIRISLE FLUTED CARDY  RED,0420,W17,20,BH,640
CBHU4377695,21/08/2017,F0102,,F972192,90007,VELVET BLOCK HEEL         GREY,0420,W17,12,BH,360
CBHU4377695,21/08/2017,F0102,,F972238,90007,FRAYED SATIN MULE        BLACK,0420,W17,12,BH,360
CBHU4377695,21/08/2017,F0102,,F972240,90007,SATIN PLATFORM           BLACK,0420,W17,12,BH,360
CBHU4377695,21/08/2017,F0703,,M312473,90002,SUEDETTE EDGED CLUTCH    BLACK,0420,W17,16,BH,480
CBHU4377695,21/08/2017,F0703,,M312492,90001,GLITTER X BODY BAG       MULTI,0420,W17,12,B,360
CBHU4377695,21/08/2017,L2501,,F774278,90008,JESSIE HIGH WAIST ACID    GREY,0420,W17,20,BH,600
CBHU4377695,21/08/2017,L3702,,F364454,90015,5PK PNK FLORAL STRIPE    MULTI,0420,W17,40,BH,1040
CBHU4377695,21/08/2017,L3702,,F364478,90001,VELVET LACE TRIM BRA    BURGUN,0420,W17,26,BH,650
CBHU4377695,21/08/2017,L3702,,F364481,90001,VELVET LACE TRIM  MINI  BURGUN,0420,W17,21,BH,525
CBHU4377695,21/08/2017,L3702,,F364482,90001,LONGLINE VELVET STRAP B PURPLE,0420,W17,24,BH,600
CBHU4377695,21/08/2017,L3702,,F364484,90001,VELVET STRAP THONG      PURPLE,0420,W17,22,BH,550
CBHU4377695,21/08/2017,L3702,,F364513,90001,VELVET STRAP BRALET     PURPLE,0420,W17,21,BH,525
