PAGRNNO,PAGRNDATE,PAGRNLINENO,PONUMBER,CONTAINERNO,POLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,PAGRNQTY
MAT.0000000001,30/08/2017,119,0420-MPO-9393,AMFU8882995,119,M684392,90001,6684392900014,B,22
MAT.0000000001,30/08/2017,120,0420-MPO-9393,AMFU8882995,120,M684494,90001,6684494900011,B,7
MAT.0000000001,30/08/2017,121,0420-MPO-9393,AMFU8882995,121,M693803,90001,6693803900017,B,11
MAT.0000000001,30/08/2017,122,0420-MPO-9393,AMFU8882995,122,M693845,90001,6693845900013,B,22
MAT.0000000001,30/08/2017,123,0420-MPO-9393,AMFU8882995,123,M693859,90001,6693859900016,B,14
MAT.0000000001,30/08/2017,124,0420-MPO-9393,AMFU8882995,124,M693876,90001,6693876900013,B,22
MAT.0000000001,30/08/2017,125,0420-MPO-9393,AMFU8882995,125,M693877,90001,6693877900012,B,10
MAT.0000000001,30/08/2017,126,0420-MPO-9393,AMFU8882995,126,M693878,90001,6693878900011,B,22
MAT.0000000001,30/08/2017,127,0420-MPO-9393,AMFU8882995,127,M693879,90001,6693879900010,B,11
MAT.0000000001,30/08/2017,128,0420-MPO-9393,AMFU8882995,128,M693909,90001,6693909900010,B,5
MAT.0000000001,30/08/2017,129,0420-MPO-9393,AMFU8882995,129,M812663,90001,6812663900016,B,3
MAT.0000000001,30/08/2017,130,0420-MPO-9393,AMFU8882995,130,M812945,90001,6812945900017,B,16
MAT.0000000001,30/08/2017,131,0420-MPO-9393,AMFU8882995,131,M812964,90002,6812964900029,B,3
MAT.0000000001,30/08/2017,132,0420-MPO-9393,AMFU8882995,132,M846620,90001,6846620900016,B,6
MAT.0000000001,30/08/2017,133,0420-MPO-9393,AMFU8882995,133,M846673,90002,6846673900025,B,11
MAT.0000000001,30/08/2017,134,0420-MPO-9393,AMFU8882995,134,M847264,90001,6847264900011,B,21
MAT.0000000001,30/08/2017,135,0420-MPO-9393,AMFU8882995,135,M847454,90001,6847454900012,B,7
MAT.0000000001,30/08/2017,136,0420-MPO-9393,AMFU8882995,136,M847688,90001,6847688900017,B,6
MAT.0000000001,30/08/2017,137,0420-MPO-9393,AMFU8882995,137,M995143,90001,6995143900017,B,6
