Linecode(7),Pack Id,Pack Type,Pack Barcode,Pack Outer,Linecode(12),Ratio,All Sizes in Pack?,Pack Level,Linked Pack ID
B064454,00001,BH,1064454000015,1,B06445400001,1,N,SINGLE,
B064454,00002,BH,1064454000022,1,B06445400002,1,N,SINGLE,
B064454,00003,BH,1064454000039,1,B06445400003,1,N,SINGLE,
B064454,90001,BH,1064454900018,20,B06445400001,20,N,SOLID,00001
B064454,90002,BH,1064454900025,20,B06445400002,20,N,SOLID,00002
B064454,90003,BH,1064454900032,20,B06445400003,20,N,SOLID,00003
B064454,90004,BH,1064454900049,7,B06445400001,1,Y,PACK,
B064454,90004,BH,1064454900049,7,B06445400002,3,Y,PACK,
B064454,90004,BH,1064454900049,7,B06445400003,3,Y,PACK,
B153184,00001,BH,1153184000010,1,B15318400001,1,N,SINGLE,
B153184,00002,BH,1153184000027,1,B15318400002,1,N,SINGLE,
B153184,00003,BH,1153184000034,1,B15318400003,1,N,SINGLE,
B153184,00004,BH,1153184000041,1,B15318400004,1,N,SINGLE,
B153184,00005,BH,1153184000058,1,B15318400005,1,N,SINGLE,
B153184,90001,BH,1153184900013,30,B15318400001,30,N,SOLID,00001
B153184,90002,BH,1153184900020,30,B15318400002,30,N,SOLID,00002
B153184,90003,BH,1153184900037,30,B15318400003,30,N,SOLID,00003
B153184,90004,BH,1153184900044,30,B15318400004,30,N,SOLID,00004
B153184,90005,BH,1153184900051,30,B15318400005,30,N,SOLID,00005
B153184,90006,BH,1153184900068,9,B15318400001,1,Y,PACK,
B153184,90006,BH,1153184900068,9,B15318400002,1,Y,PACK,
B153184,90006,BH,1153184900068,9,B15318400003,2,Y,PACK,
B153184,90006,BH,1153184900068,9,B15318400004,2,Y,PACK,
B153184,90006,BH,1153184900068,9,B15318400005,3,Y,PACK,
B153185,00001,BH,1153185000019,1,B15318500001,1,N,SINGLE,
B153185,00002,BH,1153185000026,1,B15318500002,1,N,SINGLE,
B153185,00003,BH,1153185000033,1,B15318500003,1,N,SINGLE,
B153185,00004,BH,1153185000040,1,B15318500004,1,N,SINGLE,
B153185,00005,BH,1153185000057,1,B15318500005,1,N,SINGLE,
B153185,00006,BH,1153185000064,1,B15318500006,1,N,SINGLE,
B153185,90001,BH,1153185900012,30,B15318500001,30,N,SOLID,00001
B153185,90002,BH,1153185900029,30,B15318500002,30,N,SOLID,00002
B153185,90003,BH,1153185900036,30,B15318500003,30,N,SOLID,00003
