Container Reference,Despatch Date,Sub-Dept,Dummy Nest Product,Linecode,Pack ID,Description,Delivery location,Season,Pack Qty,Pack Type,Qty
TRANSFER04,10-Sep-17,H0503,,M490156,90001,LUXURY FAUX FUR  GREY,420,W17,6,B,48
TRANSFER04,10-Sep-17,H0503,,M490160,90001,LUX FAUX FUR PINK,420,W17,6,B,6
TRANSFER04,10-Sep-17,H0702,,M812664,90001,SPLIT WILLOW TROLL STORAGE,420,Y17,8,B,48
TRANSFER04,10-Sep-17,H0702,,M812688,90001,CHROME TWIST SOAP DISPENSOR,420,Y17,12,B,12
TRANSFER04,10-Sep-17,H0702,,M812867,90001,NAVY STRIPE DRAWER W CABINET,420,W17,1,B,6
TRANSFER04,10-Sep-17,H0702,,M812965,90001,WOODEN BIN,420,W17,6,B,12
TRANSFER04,10-Sep-17,H0901,,M683369,90001,SD DUCK FEATHER 13 5 QUILT K,420,Y17,4,B,16
TRANSFER04,10-Sep-17,H0901,,M684250,90001,OL 105 GOOSE FEATHER DOWN,420,Y17,3,B,3
TRANSFER04,10-Sep-17,H0901,,M684251,90001,OL 105 GOOSE FEATHER DOWN,420,Y17,3,B,3
TRANSFER04,10-Sep-17,H0901,,M684252,90001,OL 105 GOOSE FEATHER DOWN,420,Y17,3,B,30
TRANSFER04,10-Sep-17,L0301,,F273045,90008,RIBBED BUTTON THRU CARDIGAN,420,W17,20,BH,80
TRANSFER04,10-Sep-17,L0301,,F273143,90005,POINTELLE CARDIGAN,420,W17,19,BH,76
TRANSFER04,10-Sep-17,L0302,,F273083,90008,CASUAL 2IN1,420,W17,18,BH,54
TRANSFER04,10-Sep-17,L0302,,F273087,90005,SPARKLE VNECK JUMPER,420,W17,18,BH,18
TRANSFER04,10-Sep-17,L0302,,F273157,90005,NOTCH NECK TUNIC,420,W17,18,BH,36
TRANSFER04,10-Sep-17,L0401,,F269131,90008,CUT OUT RIB TEE,420,W17,26,BH,104
TRANSFER04,10-Sep-17,L0401,,F269167,90008,PERFECT LS TEE COLS AUTUMN,420,W17,23,BH,207
TRANSFER04,10-Sep-17,L0401,,F269173,90008,PERFECT LS TEE PRINT GEO,420,W17,25,BH,75
TRANSFER04,10-Sep-17,L0401,,F269186,90008,HENLEY SOLID TRANS,420,W17,19,BH,19
TRANSFER04,10-Sep-17,L0401,,F269189,90008,LS ROLL NECK A/W,420,W17,16,BH,144
TRANSFER04,10-Sep-17,L0401,,F269192,90008,LS ROLL NECK AUTUMN,420,W17,16,BH,96
TRANSFER04,10-Sep-17,L0401,,F269305,90008,TEXTURED PLAIN BARDOT,420,W17,21,BH,63
TRANSFER04,10-Sep-17,L0401,,F269306,90008,TEXTURED STRIPE BARDOT,420,W17,21,BH,189
TRANSFER04,10-Sep-17,L0401,,F269307,90008,TEXTURED STRIPE BARDOT,420,W17,21,BH,189
TRANSFER04,10-Sep-17,L0401,,F269317,90008,TEXTURED POCKET TEE,420,W17,25,BH,200
TRANSFER04,10-Sep-17,L0401,,F269318,90008,TEXTURED POCKET TEE,420,W17,25,BH,100
TRANSFER04,10-Sep-17,L0401,,F269319,90008,TEXTURED POCKET STRIPE,420,W17,25,BH,25
TRANSFER04,10-Sep-17,L0401,,F269320,90008,TEXTURED POCKET STRIPE,420,W17,25,BH,125
TRANSFER04,10-Sep-17,L0401,,F269322,90005,OVERSIZE TURN UP TEE,420,W17,15,BH,75
TRANSFER04,10-Sep-17,L0401,,F269325,90005,OVERSIZE TURN UP TEE STRIPE,420,W17,15,BH,165
TRANSFER04,10-Sep-17,L0401,,F269405,90008,CS EMB CROSS FRONT,420,W17,18,BH,252
TRANSFER04,10-Sep-17,L0401,,F269436,90005,LL SEQUIN SHOULDER TEE,420,W17,12,BH,60
TRANSFER04,10-Sep-17,L0401,,F269500,90008,LATTICE SLEEVE TSHIRT,420,W17,20,BH,300
TRANSFER04,10-Sep-17,L0401,,F269501,90008,LATTICE SLEEVE TSHIRT,420,W17,20,BH,340
TRANSFER04,10-Sep-17,L0401,,F269548,90008,LS ROLL NECK,420,W17,16,BH,128
